,book,author,placement,price,nprice
0,Генетические алгоритмы на Python,Вирсански,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 2469,00 руб.",2469.0
1,"Изучаем Python, том 1",М.  Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
2,"Python и машинное обучение: машинное и глубокое обучение с использованием Python, scikit-learn и TenFlow","С. Рашка, В. Мирджалили","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
3,Введение в машинное обучение с помощью Python,"А. Мюллер, С. Гвидо","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 2769,00 руб.",2769.0
4,Автоматизация рутинных задач с помощью Python,Э. Свейгарт,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1659,00 руб.",1659.0
5,Программирование на Python 3,М. Саммерфилд,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 2879,00 руб.",2879.0
6,Криптография и взлом шифров на Python,Свейгарт,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 1659,00 руб.",1659.0
7,Сумка-шоппер ErichKrause® 10L Purple Python,,"Расположение в торговом зале: Уровень 1, зал № 09, секция 05, шкаф 31, полка 01","Цена: 419,00 руб.",419.0
8,Python. Справочник. Полное описание языка,"А. Мартелли , А. Рейвенскрофт, С. Холден","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
9,Стандартная библиотека Python 3,Д. Хеллман,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 3319,00 руб.",3319.0
10,Легкий способ выучить Python,З. Шоу,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 749,00 руб.",749.0
11,Прикладной анализ текстовых данных на Python. Машинное обучение и создание приложений обработки естественного языка,"Б. Бенгфорт, Р. Билбро, Т. Охеда","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 1349,00 руб.",1349.0
12,Искусственный интеллект с примерами на Python,П. Джоши,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 1659,00 руб.",1659.0
13,Python 3 и PyQt 5. Разработка приложений,"Н. А. Прохоренок, В. Дронов","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1539,00 руб.",1539.0
14,Python для сложных задач: наука о данных и машинное обучение,Дж. В. Плас,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 1749,00 руб.",1749.0
15,Эволюционные нейросети на языке Python,Омельяненко,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 2469,00 руб.",2469.0
16,"Python: Искусственный интеллект, большие данные и облачные вычисления","П.Дейтел,Х.Дейтел","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 3139,00 руб.",3139.0
17,Алгоритмы обучения с подкреплением на Python,Лонца,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 01","Цена: 2469,00 руб.",2469.0
18,"Изучаем Python: программирование игр, визуализация данных, веб-приложения. ",Э. Мэтиз,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1509,00 руб.",1509.0
19,Байесовский анализ на Python,О. Мартин,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 2229,00 руб.",2229.0
20,Сумка-шоппер ErichKrause® 10L Python Print,,"Расположение в торговом зале: Уровень 1, зал № 09, секция 01, шкаф 01, полка 01","Цена: 419,00 руб.",419.0
21,Машинное обучение с использованием Python. Сборник рецептов,К. Элбон,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 979,00 руб.",979.0
22,Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,С. Равичандиран,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1489,00 руб.",1489.0
23,Изучение сложных систем с помощью Python,А. Б. Дауни,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1359,00 руб.",1359.0
24,Python для чайников,Дж. Мюллер,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 889,00 руб.",889.0
25,Легкий способ выучить Python 3,З. Шоу,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 739,00 руб.",739.0
26,"Python : создаем программы и игры,",Д. М. Кольцов ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 549,00 руб.",549.0
27,Django 2.1. Практика создания веб-сайтов на Python,В. А. Дронов,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 02","Цена: 1389,00 руб.",1389.0
28,Python. Экспресс-курс,Н. Седер,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 1229,00 руб.",1229.0
29,"Как устроен Python. Гид для разработчиков, программистов и интересующихся",М. Харрисон,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1089,00 руб.",1089.0
30,Python 3   Самое необходимое ,Прохоренок,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1139,00 руб.",1139.0
31,Начинаем программировать на Python,Т. Гэддис,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 2009,00 руб.",2009.0
32,Простой Python. Современный стиль программирования,Б. Любанович,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 1529,00 руб.",1529.0
33,Математика на Python. Часть I. Элементы линейной алгебры и аналитической геометрии,"А. С. Балджы, М. Б. Хрипунова, И. А. Александрова","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 299,00 руб.",299.0
34,Основы Data Science и Big Data. Python и наука о данных,"Д. Силен, А. Мейсман, М. Али","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 90, полка 06","Цена: 1529,00 руб.",1529.0
35,"HTML, CSS, SCRATCH, PYTHON. Моя первая книга по программированию","С. В. Голиков, Е. В. Дубовик, Г. С. Русин, Ю. А. Иркова","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 91, полка 03","Цена: 549,00 руб.",549.0
36,Программирование на языке Python,Р. Седжвик,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2219,00 руб.",2219.0
37,Django. Разработка веб-приложений на Python,"Дж. Форсье, П. Биссекс, У. Чан","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 02","Цена: 1879,00 руб.",1879.0
38,"Изучаем Python, том 2,",М.Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
39,Python : Карманный справочник,М. Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 669,00 руб.",669.0
40,Численные методы: Вычислительный практикум. Практическое применение численных методов при использовании алгоритмического языка PYTHON,Вабищевич,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 58, полка 06","Цена: 609,00 руб.",609.0
41,Численные методы. Практическое применение численных методов при использовании алгоритмического языка PYTHON,П. Н. Вабищев,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 58, полка 06","Цена: 899,00 руб.",899.0
42,Классические задачи Computer Science на языке Python,Д. Копец,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 02","Цена: 1219,00 руб.",1219.0
43,"Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию",Д. Данжу,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1309,00 руб.",1309.0
44,Язык программирования Python: практикум,Р. А. Жуков,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 889,00 руб.",889.0
45,Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем искусственного интеллекта на Python,С. Паттанаяк,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 04","Цена: 1659,00 руб.",1659.0
46,Секреты Python: 59 рекомендаций по написанию эффективного кода,Б. Слаткин,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1329,00 руб.",1329.0
47,Программируем на Python,М. Доусон,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1259,00 руб.",1259.0
48,Простой Python просто с нуля,Р. Гаско,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 1029,00 руб.",1029.0
49,Построение систем машинного обучения на языке Python,"П. К. Луис , В. Ричарт","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1729,00 руб.",1729.0
50,Чистый Python. Тонкости программирования для профи,Д. Бейдер,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1349,00 руб.",1349.0
51,Глубокое обучение на Python,Ф. Шолле,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 04","Цена: 1229,00 руб.",1229.0
52,Анализ социальных медиа на Python,М. Бонцанини,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1979,00 руб.",1979.0
53,Основы алгоритмизации и программирования на Python,С. Р. Гуриков,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1799,00 руб.",1799.0
54,Python для детей : самоучитель по программированию,Дж. Бриггс,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1129,00 руб.",1129.0
55,Скрапинг веб-сайтов с помощью Python : сбор данных из современного интернета,Р. Митчелл,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1609,00 руб.",1609.0
56,Python. К вершинам мастерства,Л. Рамальо,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 2469,00 руб.",2469.0
57,Программирование на Python для начинающих,М. МакГрат,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 579,00 руб.",579.0
58,Python,Д. Бизли,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 3029,00 руб.",3029.0
59,Python в системном администрировании UNIX и Linux,"Н. Гифт, Дж. М. Джонс","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 2159,00 руб.",2159.0
60,Учимся программировать с примерами на Python (серия Head First),Фримен,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 1659,00 руб.",1659.0
61,Легкий способ выучить Python 3 еще глубже,З. Шоу ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 789,00 руб.",789.0
62,Программирование GPU при помощи Python и CUDA,Б. Тоуманнен,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 84, полка 07","Цена: 2229,00 руб.",2229.0
63,Python. Непрерывная интеграция и доставка,М. Ленц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 1359,00 руб.",1359.0
64,Мешок для обуви ErichKrause® 365x440мм Purple Python,,"Расположение в торговом зале: Уровень 1, зал № 09, секция 06, шкаф 41, полка 01","Цена: 459,00 руб.",459.0
65,"Портфель пластиковый ErichKrause® Purple Python, A4 (в пакете по  1шт.)",,"Расположение в торговом зале: Уровень 1, зал № 09, секция 05, шкаф 31, полка 06","Цена: 409,00 руб.",409.0
66,PYTHON И АНАЛИЗ ДАННЫХ. ВТОРОЕ ИЗДАНИЕ,Маккинни,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 3209,00 руб.",3209.0
67,Python. Книга Рецептов,"Д. Бизли, Б. К. Джонс","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 3709,00 руб.",3709.0
68,Вероятностное программирование на Python : байесовский вывод и алгоритмы,К. Дэвидсон-Пайлон,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1939,00 руб.",1939.0
69,Python для детей,Х.-Г. Шуман,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1979,00 руб.",1979.0
70,Изучение робототехники с помощью Python,Д. Лентин,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 1979,00 руб.",1979.0
71,Программирование на языке высокого уровня python ,Д. Ю. Федоров,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 07","Цена: 589,00 руб.",589.0
72,"Практикум по математической статистике. Проверка гипотез с использованием Excel, MatCalc, R и Python","В. И. Глебов, С. Я. Криволапов","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 83, полка 06","Цена: 299,00 руб.",299.0
73,Minecraft. Программируй свой мир на Python,"Д. Вэйл, М. О`Хэнлон","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 75, полка 06","Цена: 1089,00 руб.",1089.0
74,"Учим Python, делая крутые игры",Э. Свейгарт,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 849,00 руб.",849.0
75,Программирование на Python,К. Вордерман,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1449,00 руб.",1449.0
76,Основы программирования на языке Python,Д. М. Златопольский,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 989,00 руб.",989.0
77,Python. Разработка на основе тестирования,Г. Персиваль,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 3709,00 руб.",3709.0
78,"Алгоритмы. Справочник с примерами на C, C++, Java и Python","Дж. Хайнеман, Г. Поллис, С. Селков","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 07","Цена: 1659,00 руб.",1659.0
79,"Изучаем Python : программирование игр, визуализация данных, веб-приложения",Э. Мэтиз,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1509,00 руб.",1509.0
80,Основы алгоритмизации и программирования на Python,Гуриков, ,"Цена: 1769,00 руб.",1769.0
81,"Прогнозное моделирование в IBM SPSS Statistics, R и Python : метод деревьев решений и случайный лес",А. В. Груздев, ,"Цена: 3599,00 руб.",3599.0
82,Разработка геоприложений на языке Python,Э. Вестра, ,"Цена: 1909,00 руб.",1909.0
83,Django: практика создания Web-сайтов на Python,В. Дронов, ,"Цена: 709,00 руб.",709.0
84,Построение систем машинного обучения на языке Python,"Л. П. Коэльо, В. Ричарт", ,"Цена: 1139,00 руб.",1139.0
